"","delta","beta","sigmaEps","sigmaEta","id"
"1",1.04251857499865,0.6243227110407,0.261929470514779,0.253937740915395,1
"2",1.23483650861458,1.0745974786177,0.346898281149767,0.308018833173136,2
"3",1.00478567874304,0.763544678098855,0.36351739830471,0.269945072789257,3
"4",0.411735053870869,1.32741828757584,0.336879187425389,0.290962656764609,4
"5",0.465732176953183,0.858531421492187,0.240408221253885,0.314451777368262,5
"6",1.40587724552961,1.13030494299607,0.227884119055286,0.309071522388785,6
"7",0.999189260577444,1.04687428844651,0.437886273495247,0.298123949199694,7
"8",0.630521800602063,0.770433236925429,0.319981388779775,0.308215944755942,8
"9",1.03286957015716,1.36032485209352,0.306706888812665,0.26571482990902,9
"10",1.37951758389021,1.12711779857485,0.291068414312949,0.264470097501823,10
"11",1.5496472744133,0.988833133795425,0.222560784011476,0.198047659183559,11
"12",0.968231626195513,1.03553065896839,0.3495972225736,0.272652759658848,12
"13",1.01153156340483,1.13621517615934,0.284148649005342,0.263913107361682,13
"14",0.635058137798368,0.988851193790294,0.286601657320636,0.589488507670976,14
"15",1.19087324780488,0.21812045135729,0.378841933771398,0.213418156415649,15
"16",0.915850190107033,1.03761371052819,0.368420795994077,0.310472872155005,16
"17",1.18971143990737,0.874584311460279,0.424882036253167,0.206515652348658,17
"18",1.25205824340427,1.01270061336193,0.266330759712001,0.207716369152787,18
"19",1.33462478958954,1.1118489039869,0.35296525165066,0.309499993525508,19
"20",0.92361731524526,1.31632717896869,0.424775200401195,0.233836625744059,20
"21",1.20208768992156,0.784569957276907,0.227257845200065,0.299863335065444,21
"22",0.646596739328727,1.29202863015656,0.24191449274072,0.269540256591079,22
"23",0.879734157002189,1.05035500208354,0.226070705026399,0.257331354881768,23
"24",0.863122010552933,1.22601949681993,0.208299922202813,0.18084006345225,24
"25",0.472296996610405,1.19657511421818,0.306059067070432,0.220874681150899,25
"26",1.08487956082013,1.14661251286224,0.353217339309824,0.313770424060881,26
"27",1.12734855914713,0.70561323750356,0.405055388124077,0.345740199065893,27
"28",0.985584584459896,0.943846375492847,0.389541437657043,0.265220919258988,28
"29",1.26538971802194,1.12227251264541,0.233452892820437,0.300004716341974,29
"30",0.894172702327919,0.728012132702437,0.476230961635988,0.397225800300644,30
